N^3,Roofline CS GFLOPs,Roofline CS MLUPs,Roofline CS cycl,Roofline CS Arithmetic Intensity,Roofline LC GFLOPs,Roofline LC MLUPs,Roofline LC cycl,Roofline LC Arithmetic Intensity,Benchmark Pheno Tol,Benchmark Pheno Tnol,Benchmark Pheno Tl1l2,Benchmark Pheno Tl2l3,Benchmark Pheno Tl3mem,Benchmark cycl,Benchmark MLUPs,ECM CS Tol,ECM CS Tnol,ECM CS Tl1l2,ECM CS Tl2l3,ECM CS Tl3mem,ECM CS cycl,ECM CS MLUPs,ECM LC Tol,ECM LC Tnol,ECM LC Tl1l2,ECM LC Tl2l3,ECM LC Tl3mem,ECM LC cycl,ECM LC MLUPs,Benchmark Transfer L1L2 load,Benchmark Transfer L1L2 evict,Benchmark Transfer L1L2 total,Benchmark Transfer L2L3 load,Benchmark Transfer L2L3 evict,Benchmark Transfer L2L3 total,Benchmark Transfer L3MEM load,Benchmark Transfer L3MEM evict,Benchmark Transfer L3MEM total,CS Transfer L1L2 load,CS Transfer L1L2 evict,CS Transfer L1L2 total,CS Transfer L2L3 load,CS Transfer L2L3 evict,CS Transfer L2L3 total,CS Transfer L3MEM load,CS Transfer L3MEM evict,CS Transfer L3MEM total,LC Transfer L1L2 load,LC Transfer L1L2 evict,LC Transfer L1L2 total,LC Transfer L2L3 load,LC Transfer L2L3 evict,LC Transfer L2L3 total,LC Transfer L3MEM load,LC Transfer L3MEM evict,LC Transfer L3MEM total
10,1.81,0,31.7745047633449,0.05,2.43,0,23.6915167095116,0.06,16.3,12.3,8,0,0,34,282.32,12.3,9,8,0,0,17.05,1126.09,12.3,9,6,0,0,15,1280,54,10.24,64.24,0,0,0,0,0,0,54,10.37,64.37,0,0,0,0,0,0,40,8,48,0,0,0,0,0,0
20,2.15,0,26.8010452214477,0.06,2.43,0,23.6915167095116,0.06,14.8,11.9,6.8,0,0,27.74,346.09,12.3,9,6.8,0,0,15.79,1215.95,12.3,9,6,0,0,15,1280,45.84,8.88,54.72,0,0,0,0,0,0,45.37,8.87,54.24,0,0,0,0,0,0,40,8,48,0,0,0,0,0,0
30,0.80194,0,71.8256758499162,0.03,1.52,0,37.8286300667009,0.06,15.1,9.9,6.9,44.8,0.3,39.22,244.76,12.3,9,6.5,21.8,0,37.34,514.19,12.3,9,6,20,0,35,548.57,46.56,8.64,55.2,44.8,44.8,89.6,0.72,0,0.72,43.62,8.62,52.24,43.62,43.62,87.24,0,0,0,40,8,48,40,8,48,0,0,0
40,0.82217,0,70.0588084901565,0.04,1.52,0,37.8286300667009,0.06,14.7,10.4,6.8,43.9,0.1,37.61,255.27,12.3,9,6.4,21.3,0,36.64,524.01,12.3,9,6,20,0,35,548.57,45.6,8.48,54.08,43.92,43.92,87.84,0.32,0,0.32,42.5,8.37,50.87,42.5,42.5,85,0,0,0,40,8,48,40,8,48,0,0,0
50,0.83142,0,69.2789375513068,0.04,1.22,0,47.2312620115311,0.06,14.1,9.5,6.7,43,0.4,38.4,249.98,12.3,9,6.3,21,15.1,51.44,373.25,12.3,9,6,20,17.6,52.62,364.88,45.04,8.4,53.44,43.04,43.04,86.08,0.96,0.16,1.12,42.12,8.37,50.49,9.25,42.12,51.37,32.87,8.25,41.12,40,8,48,40,8,48,40,8,48
60,0.83952,0,68.6104590051458,0.04,1.22,0,47.2312620115311,0.06,13.4,9.9,6.7,42.4,4,40.22,238.67,12.3,9,6.2,20.8,18.3,54.4,352.94,12.3,9,6,20,17.6,52.62,364.88,45.2,8.32,53.52,42.4,42.4,84.8,9.12,1.68,10.8,41.62,8.25,49.87,0,41.62,41.62,41.62,8.25,49.87,40,8,48,40,8,48,40,8,48
70,0.84413,0,68.2355959297574,0.04,1.22,0,47.2312620115311,0.06,13.9,9.4,6.6,42,11.8,51.01,188.18,12.3,9,6.2,20.7,18.2,54.16,354.5,12.3,9,6,20,17.6,52.62,364.88,44.4,8.32,52.72,42,42,84,28.56,3.52,32.08,41.5,8.25,49.75,0,41.5,41.5,41.5,8.25,49.75,40,8,48,40,8,48,40,8,48
80,0.84814,0,67.9133310463122,0.04,1.22,0,47.2312620115311,0.06,12.3,9.9,6.5,41.9,14.2,55.12,174.15,12.3,9,6.2,20.6,18.2,53.96,355.81,12.3,9,6,20,17.6,52.62,364.88,43.6,8.24,51.84,41.92,41.84,83.76,33.6,5.2,38.8,41.25,8.25,49.5,0,41.25,41.25,41.25,8.25,49.5,40,8,48,40,8,48,40,8,48
90,0.85083,0,67.6983437392796,0.04,1.22,0,47.2312620115311,0.06,12.5,10,6.5,41.5,14.9,54.08,177.5,12.3,9,6.2,20.6,18.1,53.82,356.74,12.3,9,6,20,17.6,52.62,364.88,43.52,8.24,51.76,41.52,41.52,83.04,35.2,5.44,40.64,41.12,8.12,49.24,0,41.12,41.12,41.12,8.12,49.24,40,8,48,40,8,48,40,8,48
100,0.85365,0,67.4746942623244,0.04,1.22,0,47.2312620115311,0.06,12.2,9.7,6.4,41.4,15.5,56.68,169.37,12.3,9,6.1,20.5,18,53.68,357.67,12.3,9,6,20,17.6,52.62,364.88,43.36,8.16,51.52,41.36,41.36,82.72,35.92,6.24,42.16,41,8.12,49.12,0,41,41,41,8.12,49.12,40,8,48,40,8,48,40,8,48
